% time spent exploring,episodes,mean 100 episode reward,steps
72,100,0.5,55283
56,200,0.4,87775
44,300,0.5,112409
32,400,0.6,137300
25,500,0.7,152116
22,600,0.9,158724
20,700,1.0,162776
18,800,1.0,166770
16,900,1.0,169744
15,1000,1.0,172374
14,1100,1.0,174910
13,1200,1.0,177408
11,1300,1.0,179856
10,1400,1.0,182242
9,1500,1.0,184586
8,1600,1.0,186986
7,1700,1.0,189312
6,1800,1.0,191592
5,1900,1.0,193842
3,2000,1.0,196036
2,2100,1.0,198216
2,2200,1.0,200366
2,2300,1.0,202510
2,2400,1.0,204742
2,2500,1.0,206916
2,2600,1.0,210033
2,2700,1.0,212163
2,2800,1.0,214331
2,2900,1.0,216459
2,3000,1.0,218623
2,3100,1.0,220767
2,3200,1.0,223896
2,3300,1.0,226042
2,3400,1.0,228206
2,3500,1.0,230432
2,3600,1.0,232574
2,3700,1.0,234788
2,3800,1.0,236946
2,3900,1.0,239100
2,4000,1.0,241282
2,4100,1.0,243466
2,4200,1.0,245640
2,4300,1.0,247812
2,4400,1.0,249954
2,4500,1.0,252110
2,4600,1.0,254260
2,4700,1.0,256428
2,4800,1.0,258574
2,4900,1.0,260722
2,5000,1.0,262866
2,5100,1.0,265014
2,5200,1.0,267154
2,5300,1.0,269356
2,5400,1.0,271512
2,5500,1.0,273650
2,5600,1.0,275816
2,5700,1.0,277960
2,5800,1.0,280130
2,5900,1.0,282276
2,6000,1.0,284508
2,6100,1.0,286658
2,6200,1.0,288808
2,6300,1.0,290948
2,6400,1.0,293116
2,6500,1.0,295276
2,6600,1.0,297430
2,6700,1.0,299596
2,6800,1.0,301752
2,6900,1.0,303904
2,7000,1.0,306056
2,7100,1.0,308208
2,7200,1.0,310360
2,7300,1.0,312512
2,7400,1.0,314678
2,7500,1.0,316844
2,7600,1.0,319044
2,7700,1.0,321216
2,7800,1.0,323390
2,7900,1.0,325556
2,8000,1.0,327712
2,8100,1.0,329854
2,8200,1.0,331998
2,8300,1.0,334150
2,8400,1.0,336304
2,8500,1.0,338450
2,8600,1.0,340590
2,8700,1.0,342756
2,8800,1.0,344912
2,8900,1.0,347060
2,9000,1.0,349212
2,9100,1.0,351370
2,9200,1.0,353530
2,9300,1.0,355682
2,9400,1.0,357904
2,9500,1.0,360060
2,9600,1.0,362226
2,9700,1.0,364394
2,9800,1.0,366554
2,9900,1.0,368702
2,10000,1.0,370850
2,10100,1.0,373044
2,10200,1.0,375256
2,10300,1.0,377410
2,10400,1.0,379562
2,10500,1.0,381706
2,10600,1.0,383878
2,10700,1.0,386030
2,10800,1.0,388176
2,10900,1.0,390344
2,11000,1.0,392500
2,11100,1.0,394642
2,11200,1.0,396830
2,11300,1.0,398990
2,11400,1.0,401140
2,11500,1.0,403296
2,11600,1.0,405452
2,11700,1.0,407602
2,11800,1.0,409766
2,11900,1.0,411910
2,12000,1.0,414070
2,12100,1.0,416234
2,12200,1.0,418384
2,12300,1.0,420536
2,12400,1.0,422690
2,12500,1.0,424842
2,12600,1.0,426974
2,12700,1.0,429120
2,12800,1.0,431296
2,12900,1.0,433462
2,13000,1.0,435624
2,13100,1.0,437776
2,13200,1.0,439938
2,13300,1.0,442112
2,13400,1.0,444274
2,13500,1.0,446430
2,13600,1.0,448586
2,13700,1.0,450812
2,13800,1.0,452954
2,13900,1.0,455112
2,14000,1.0,457260
2,14100,1.0,459424
2,14200,1.0,461582
2,14300,1.0,463734
2,14400,1.0,465898
2,14500,1.0,468064
2,14600,1.0,470210
2,14700,1.0,472388
2,14800,1.0,474548
2,14900,1.0,476702
2,15000,1.0,478838
2,15100,1.0,480994
2,15200,1.0,483144
2,15300,1.0,485304
2,15400,1.0,487462
2,15500,1.0,489610
2,15600,1.0,491754
2,15700,1.0,493928
2,15800,1.0,496076
2,15900,1.0,498232
2,16000,1.0,500396
2,16100,1.0,502558
2,16200,1.0,504724
2,16300,1.0,506906
2,16400,1.0,509140
2,16500,1.0,511290
2,16600,1.0,513448
2,16700,1.0,515598
2,16800,1.0,517754
2,16900,1.0,519906
2,17000,1.0,522084
2,17100,1.0,524242
2,17200,1.0,526386
2,17300,1.0,528542
2,17400,1.0,530698
2,17500,1.0,532846
2,17600,1.0,535002
2,17700,1.0,537156
2,17800,1.0,539324
2,17900,1.0,541474
2,18000,1.0,543626
2,18100,1.0,545788
2,18200,1.0,547932
2,18300,1.0,550196
2,18400,1.0,552352
2,18500,1.0,554502
2,18600,1.0,556654
2,18700,1.0,558808
2,18800,1.0,560970
2,18900,1.0,563142
2,19000,1.0,565302
2,19100,1.0,567456
2,19200,1.0,569622
2,19300,1.0,571818
2,19400,1.0,573970
2,19500,1.0,576118
2,19600,1.0,578258
2,19700,1.0,580430
2,19800,1.0,583571
2,19900,1.0,585731
2,20000,1.0,587895
2,20100,1.0,590069
2,20200,1.0,592225
2,20300,1.0,594383
2,20400,1.0,596529
2,20500,1.0,598695
2,20600,1.0,600825
2,20700,1.0,602973
2,20800,1.0,605125
2,20900,1.0,607277
2,21000,1.0,609429
2,21100,1.0,611589
2,21200,1.0,613747
2,21300,1.0,615883
2,21400,1.0,618035
2,21500,1.0,620193
2,21600,1.0,622349
2,21700,1.0,624505
2,21800,1.0,626667
2,21900,1.0,628825
2,22000,1.0,631021
2,22100,1.0,633173
2,22200,1.0,635321
2,22300,1.0,637499
2,22400,1.0,639651
2,22500,1.0,641833
2,22600,1.0,644003
2,22700,1.0,646161
2,22800,1.0,648317
2,22900,1.0,650597
2,23000,1.0,652731
2,23100,1.0,654875
2,23200,1.0,658010
2,23300,1.0,660180
2,23400,1.0,662338
2,23500,1.0,664494
2,23600,1.0,666678
2,23700,1.0,668822
2,23800,1.0,670968
2,23900,1.0,673130
2,24000,1.0,675288
2,24100,1.0,677444
2,24200,1.0,679664
2,24300,1.0,681814
2,24400,1.0,683976
2,24500,1.0,686126
2,24600,1.0,688290
2,24700,1.0,690458
2,24800,1.0,692604
2,24900,1.0,694754
2,25000,1.0,696926
2,25100,1.0,699088
2,25200,1.0,701256
2,25300,1.0,703396
2,25400,1.0,705560
2,25500,1.0,707728
2,25600,1.0,709884
2,25700,1.0,712044
2,25800,1.0,714186
2,25900,1.0,716334
2,26000,1.0,718488
2,26100,1.0,720646
2,26200,1.0,722800
2,26300,1.0,724966
2,26400,1.0,727126
2,26500,1.0,729292
2,26600,1.0,731450
2,26700,1.0,733606
2,26800,1.0,735766
2,26900,1.0,737920
2,27000,1.0,740094
2,27100,1.0,742230
2,27200,1.0,744384
2,27300,1.0,746538
2,27400,1.0,748694
2,27500,1.0,750846
2,27600,1.0,753012
2,27700,1.0,755180
2,27800,1.0,757320
2,27900,1.0,759476
2,28000,1.0,761630
2,28100,1.0,763792
2,28200,1.0,765938
2,28300,1.0,768088
2,28400,1.0,770234
2,28500,1.0,772388
2,28600,1.0,774542
2,28700,1.0,776694
2,28800,1.0,778842
2,28900,1.0,781016
2,29000,1.0,783206
2,29100,1.0,785378
2,29200,1.0,787532
2,29300,1.0,789676
2,29400,1.0,791822
2,29500,1.0,793986
2,29600,1.0,796134
2,29700,1.0,798282
2,29800,1.0,800440
2,29900,1.0,802582
2,30000,1.0,804732
2,30100,1.0,806888
2,30200,1.0,809044
2,30300,1.0,811190
2,30400,1.0,813366
2,30500,1.0,815534
2,30600,1.0,817680
2,30700,1.0,819890
2,30800,1.0,822200
2,30900,1.0,824364
2,31000,1.0,826508
2,31100,1.0,828666
