# {"t_start": 1682588157.3501961, "env_id": "Craft-single-M1-v0"} 
r,l,t
0.0,1000,14.009982
0.0,1000,25.605595
0.0,1000,36.967805
0.0,1000,48.672804
0.0,1000,60.271898
0.0,1000,71.727387
0.0,1000,83.443894
0.0,1000,94.876114
0.0,1000,106.415013
0.0,1000,118.237098
0.0,1000,129.652839
0.0,1000,141.184383
0.0,1000,152.618775
0.0,1000,163.243007
0.0,1000,173.189889
0.0,1000,182.736051
0.0,1000,194.474364
0.0,1000,206.146351
0.0,1000,217.423506
0.0,1000,229.851204
0.0,1000,241.496682
0.0,1000,253.548453
0.0,1000,265.274426
0.0,1000,276.680524
0.0,1000,288.463907
0.0,1000,301.450435
0.0,1000,316.886508
0.0,1000,330.111155
0.0,1000,343.336075
0.0,1000,357.20906
0.0,1000,371.374016
0.0,1000,384.79774
0.0,1000,399.487271
0.0,1000,415.8613
0.0,1000,431.633789
0.0,1000,447.568003
0.0,1000,463.190668
0.0,1000,479.148965
0.0,1000,494.808072
0.0,1000,511.16963
0.0,1000,527.78307
1.0,616,537.700361
0.0,1000,552.945342
0.0,1000,568.857705
0.0,1000,586.166344
0.0,1000,602.607907
0.0,1000,620.156737
0.0,1000,643.032394
0.0,1000,661.881293
0.0,1000,679.732715
0.0,1000,698.010272
0.0,1000,716.346971
0.0,1000,734.348664
0.0,1000,751.629008
0.0,1000,769.983768
0.0,1000,787.296674
0.0,1000,805.618943
0.0,1000,822.724335
0.0,1000,838.654861
0.0,1000,854.889475
0.0,1000,871.545836
0.0,1000,886.112075
0.0,1000,902.167075
0.0,1000,917.220053
0.0,1000,932.770492
1.0,712,944.498068
0.0,1000,962.171833
0.0,1000,978.964946
0.0,1000,996.057593
0.0,1000,1013.026007
0.0,1000,1030.636271
0.0,1000,1048.42739
0.0,1000,1066.101488
1.0,898,1081.921457
0.0,1000,1099.375721
0.0,1000,1117.129323
0.0,1000,1135.22764
0.0,1000,1152.982685
0.0,1000,1170.670909
0.0,1000,1188.302171
0.0,1000,1205.968562
0.0,1000,1223.731714
0.0,1000,1241.362417
0.0,1000,1259.090889
0.0,1000,1276.782233
0.0,1000,1294.560624
0.0,1000,1312.301579
0.0,1000,1329.916642
0.0,1000,1347.809125
0.0,1000,1365.521978
0.0,1000,1383.03976
0.0,1000,1400.714003
0.0,1000,1418.084249
