# {"t_start": 1682588944.2239566, "env_id": "Craft-single-M1-v0"} 
r,l,t
0.0,1000,9.742404
0.0,1000,27.85361
0.0,1000,44.536055
1.0,1000,60.760151
0.0,1000,77.154333
1.0,1000,93.087488
0.0,1000,108.800993
0.0,1000,124.216743
0.0,1000,139.729718
0.0,1000,155.671364
0.0,1000,173.578571
1.0,1000,190.321333
0.0,1000,210.905694
0.0,1000,228.745764
1.0,1000,246.660332
0.0,1000,264.11088
0.0,1000,281.601309
0.0,1000,299.339607
0.0,1000,317.365199
0.0,1000,335.199439
0.0,1000,353.494624
0.0,1000,371.285414
0.0,1000,389.086132
1.0,1000,406.891784
0.0,1000,424.628205
1.0,1000,442.258495
0.0,1000,460.100379
0.0,1000,477.778046
1.0,1000,495.605187
0.0,1000,513.328678
1.0,1000,531.098444
0.0,1000,548.930779
0.0,1000,566.862282
1.0,1000,584.651432
0.0,1000,602.342349
2.0,1000,619.930419
1.0,1000,637.790905
1.0,1000,655.436211
1.0,1000,673.018245
1.0,1000,690.638359
0.0,1000,708.453357
1.0,1000,726.282775
0.0,1000,744.103404
0.0,1000,762.074494
0.0,1000,778.728161
1.0,1000,796.261717
2.0,1000,814.104841
0.0,1000,831.863106
1.0,1000,849.57592
2.0,1000,867.15018
6.0,1000,884.800124
0.0,1000,902.649899
4.0,1000,920.266119
0.0,1000,937.877218
0.0,1000,955.726805
1.0,1000,973.497087
2.0,1000,991.117746
1.0,1000,1009.008574
0.0,1000,1026.81673
0.0,1000,1044.365794
0.0,1000,1061.251249
5.0,1000,1078.895643
1.0,1000,1096.656089
1.0,1000,1114.314905
12.0,1000,1132.165226
0.0,1000,1149.800445
0.0,1000,1167.601562
0.0,1000,1185.18797
0.0,1000,1202.822326
0.0,1000,1220.396082
0.0,1000,1238.06699
1.0,1000,1255.709114
3.0,1000,1273.362075
1.0,1000,1290.941713
0.0,1000,1308.864923
2.0,1000,1326.446016
0.0,1000,1344.17537
0.0,1000,1361.872302
0.0,1000,1379.660142
2.0,1000,1397.256195
0.0,1000,1415.093588
0.0,1000,1432.777362
0.0,1000,1450.413242
0.0,1000,1468.171223
0.0,1000,1486.020202
1.0,1000,1503.755061
1.0,1000,1521.407159
3.0,1000,1538.987763
2.0,1000,1556.528069
0.0,1000,1573.837221
1.0,1000,1591.287995
5.0,1000,1608.891084
1.0,1000,1626.675464
0.0,1000,1644.348351
1.0,1000,1661.944156
1.0,1000,1679.874808
2.0,1000,1697.519323
2.0,1000,1715.17262
1.0,1000,1732.77806
4.0,1000,1750.638981
1.0,1000,1768.526397
0.0,1000,1786.310626
1.0,1000,1804.083206
1.0,1000,1821.658968
4.0,1000,1839.515386
4.0,1000,1857.347545
3.0,1000,1875.289759
1.0,1000,1892.897537
2.0,1000,1910.652933
0.0,1000,1928.331773
0.0,1000,1946.132338
2.0,1000,1963.879519
4.0,1000,1981.719116
0.0,1000,1999.7051
1.0,1000,2017.760673
5.0,1000,2035.380317
2.0,1000,2053.384202
1.0,1000,2071.435091
1.0,1000,2089.427596
0.0,1000,2107.19902
6.0,1000,2125.209985
3.0,1000,2143.062685
1.0,1000,2161.036767
1.0,1000,2178.696903
0.0,1000,2196.783252
1.0,1000,2214.611079
