% time spent exploring,episodes,mean 100 episode reward,steps
82,100,0.8,35149
75,200,1.0,50776
70,300,1.0,61146
65,400,1.0,69987
62,500,1.0,77295
58,600,1.0,84042
55,700,1.0,89872
53,800,1.0,95327
50,900,1.0,100554
48,1000,1.0,105336
46,1100,1.0,109812
44,1200,1.0,114129
41,1300,1.0,118529
39,1400,1.0,122459
37,1500,1.0,127251
35,1600,1.0,130871
34,1700,1.0,134250
32,1800,1.0,137531
31,1900,1.0,140785
29,2000,1.0,143958
27,2100,1.0,147092
26,2200,1.0,150064
25,2300,1.0,152924
23,2400,1.0,155766
22,2500,1.0,158643
20,2600,1.0,161479
19,2700,1.0,164457
18,2800,1.0,167207
16,2900,1.0,169847
15,3000,1.0,172547
14,3100,1.0,175131
12,3200,1.0,177553
11,3300,1.0,180017
10,3400,1.0,182433
9,3500,1.0,184813
8,3600,1.0,187361
7,3700,1.0,189733
5,3800,1.0,192243
4,3900,1.0,194465
3,4000,1.0,196695
2,4100,1.0,198901
2,4200,1.0,201059
2,4300,1.0,203215
2,4400,1.0,205365
2,4500,1.0,207521
2,4600,1.0,209687
2,4700,1.0,211845
2,4800,1.0,214007
2,4900,1.0,216163
2,5000,1.0,218319
2,5100,1.0,220465
2,5200,1.0,222629
2,5300,1.0,224769
2,5400,1.0,226925
2,5500,1.0,229081
2,5600,1.0,231245
2,5700,1.0,233377
2,5800,1.0,235521
2,5900,1.0,237691
2,6000,1.0,239845
2,6100,1.0,242041
2,6200,1.0,244197
2,6300,1.0,246353
2,6400,1.0,248499
2,6500,1.0,250655
2,6600,1.0,252823
2,6700,1.0,254995
2,6800,1.0,257151
2,6900,1.0,259381
2,7000,1.0,261543
2,7100,1.0,263715
2,7200,1.0,265879
2,7300,1.0,268043
2,7400,1.0,270193
2,7500,1.0,272439
2,7600,1.0,274847
2,7700,1.0,277023
2,7800,1.0,279177
2,7900,1.0,281327
2,8000,1.0,283471
2,8100,1.0,285641
2,8200,1.0,287799
2,8300,1.0,289937
2,8400,1.0,292079
2,8500,1.0,294235
2,8600,1.0,296403
2,8700,1.0,298557
2,8800,1.0,301313
2,8900,1.0,303459
2,9000,1.0,305611
2,9100,1.0,307761
2,9200,1.0,309913
2,9300,1.0,312217
2,9400,1.0,314375
2,9500,1.0,316539
2,9600,1.0,318685
2,9700,1.0,320841
2,9800,1.0,322995
2,9900,1.0,325153
2,10000,1.0,327355
2,10100,1.0,329513
2,10200,1.0,331750
2,10300,1.0,333902
2,10400,1.0,336206
2,10500,1.0,338366
2,10600,1.0,340526
2,10700,1.0,342712
2,10800,1.0,344934
2,10900,1.0,347088
2,11000,1.0,349246
2,11100,1.0,351410
2,11200,1.0,353554
2,11300,1.0,355694
2,11400,1.0,357856
2,11500,1.0,360130
2,11600,1.0,362314
2,11700,1.0,364468
2,11800,1.0,366634
2,11900,1.0,368824
2,12000,1.0,370994
2,12100,1.0,373146
2,12200,1.0,375296
2,12300,1.0,377452
2,12400,1.0,379606
2,12500,1.0,381772
2,12600,1.0,383940
2,12700,1.0,386084
2,12800,1.0,388232
2,12900,1.0,390396
2,13000,1.0,392540
2,13100,1.0,394690
2,13200,1.0,396870
