# {"t_start": 1682658891.4411404, "env_id": "Craft-single-M1-v0"} 
r,l,t
0.0,1000,2.300979
0.0,1000,5.457669
0.0,1000,8.419512
2.0,1000,11.405433
0.0,1000,14.408748
0.0,1000,17.610822
0.0,1000,20.66899
0.0,1000,23.733317
0.0,1000,26.874364
0.0,1000,29.986787
0.0,1000,32.900424
0.0,1000,35.729115
0.0,1000,38.557373
0.0,1000,41.559802
0.0,1000,44.711984
0.0,1000,47.628646
0.0,1000,50.443322
0.0,1000,53.504166
0.0,1000,56.640742
0.0,1000,59.479781
0.0,1000,62.377241
0.0,1000,65.416194
0.0,1000,68.449063
0.0,1000,71.660871
0.0,1000,74.646269
0.0,1000,77.600379
0.0,1000,80.506579
0.0,1000,83.692902
2.0,1000,86.903997
0.0,1000,89.971408
0.0,1000,92.885143
0.0,1000,95.863763
0.0,1000,98.927133
0.0,1000,101.861587
0.0,1000,104.700591
0.0,1000,107.54146
2.0,1000,110.483732
0.0,1000,113.51999
0.0,1000,116.545915
0.0,1000,119.564582
0.0,1000,122.516345
0.0,1000,125.396295
0.0,1000,128.173584
0.0,1000,130.981292
0.0,1000,133.775351
0.0,1000,136.561312
0.0,1000,139.353363
0.0,1000,142.155385
0.0,1000,144.962608
2.0,1000,147.769621
0.0,1000,150.573724
0.0,1000,153.378351
0.0,1000,156.186692
0.0,1000,158.984197
0.0,1000,161.804338
0.0,1000,164.623187
0.0,1000,167.415438
0.0,1000,170.208732
0.0,1000,172.996178
0.0,1000,175.792265
0.0,1000,178.574582
2.0,1000,181.371462
0.0,1000,184.152197
0.0,1000,186.953796
0.0,1000,189.741323
0.0,1000,192.524386
0.0,1000,195.307397
0.0,1000,198.099475
0.0,1000,200.906451
2.0,1000,203.696217
0.0,1000,206.485822
0.0,1000,209.275707
0.0,1000,212.062029
0.0,1000,214.843929
0.0,1000,217.625994
0.0,1000,220.425587
0.0,1000,223.211072
0.0,1000,226.012507
2.0,1000,228.810449
0.0,1000,231.604361
3.0,1000,234.407848
0.0,1000,237.20363
0.0,1000,240.003295
0.0,1000,242.813522
0.0,1000,245.60852
0.0,1000,248.40087
0.0,1000,251.211859
0.0,1000,254.001498
0.0,1000,256.79994
0.0,1000,259.603806
0.0,1000,262.402308
2.0,1000,265.200602
0.0,1000,267.984168
0.0,1000,270.779677
0.0,1000,273.582533
0.0,1000,276.383134
0.0,1000,279.186642
0.0,1000,281.982053
0.0,1000,284.775698
0.0,1000,287.698602
0.0,1000,290.688653
0.0,1000,293.50572
0.0,1000,296.330781
2.0,1000,299.15552
0.0,1000,301.968137
0.0,1000,304.804816
0.0,1000,307.616956
0.0,1000,310.426671
0.0,1000,313.240128
2.0,1000,316.059644
0.0,1000,318.886185
2.0,1000,321.714122
0.0,1000,324.527205
0.0,1000,327.341132
0.0,1000,330.163747
0.0,1000,333.00005
0.0,1000,335.826574
0.0,1000,338.641924
0.0,1000,341.4641
0.0,1000,344.303995
0.0,1000,347.117957
0.0,1000,349.930752
0.0,1000,352.728403
0.0,1000,355.55163
0.0,1000,358.366061
2.0,1000,361.192878
0.0,1000,363.983095
3.0,1000,366.793894
0.0,1000,369.594521
0.0,1000,372.422221
0.0,1000,375.316756
0.0,1000,378.128474
0.0,1000,380.939665
0.0,1000,383.73818
0.0,1000,386.533545
