episodes,steps,total reward
9,10000,22.0
19,20000,2.0
29,30000,7.0
39,40000,4.0
49,50000,99.0
59,60000,247.0
69,70000,224.0
79,80000,796.0
89,90000,188.0
99,100000,293.0
109,110000,272.0
119,120000,808.0
129,130000,994.0
139,140000,918.0
149,150000,624.0
159,160000,1018.0
169,170000,1605.0
179,180000,1084.0
189,190000,1495.0
199,200000,1768.0
209,210000,1570.0
219,220000,1565.0
229,230000,2132.0
239,240000,1857.0
249,250000,2183.0
259,260000,1615.0
269,270000,1515.0
279,280000,2496.0
289,290000,2042.0
299,300000,1843.0
309,310000,1860.0
319,320000,2092.0
329,330000,2590.0
339,340000,2282.0
349,350000,1378.0
359,360000,2037.0
369,370000,2328.0
379,380000,2493.0
389,390000,1981.0
399,400000,2465.0
409,410000,2831.0
419,420000,2459.0
429,430000,2254.0
439,440000,2328.0
449,450000,2147.0
459,460000,2728.0
469,470000,3079.0
479,480000,2561.0
489,490000,1943.0
499,500000,2712.0
509,510000,2963.0
519,520000,2859.0
529,530000,2253.0
539,540000,2427.0
549,550000,2583.0
559,560000,2979.0
569,570000,2692.0
579,580000,3028.0
589,590000,2716.0
599,600000,2544.0
609,610000,2690.0
619,620000,2757.0
629,630000,3209.0
639,640000,3284.0
649,650000,2645.0
659,660000,2609.0
669,670000,3082.0
679,680000,2964.0
689,690000,2783.0
699,700000,2316.0
709,710000,3460.0
719,720000,3272.0
729,730000,3049.0
739,740000,3033.0
749,750000,2375.0
759,760000,2934.0
769,770000,3261.0
779,780000,2492.0
789,790000,3143.0
799,800000,3002.0
809,810000,3431.0
819,820000,2994.0
829,830000,3377.0
839,840000,3186.0
849,850000,2958.0
859,860000,2674.0
869,870000,2914.0
879,880000,3488.0
889,890000,3463.0
899,900000,3493.0
909,910000,2622.0
919,920000,3045.0
929,930000,3276.0
939,940000,3616.0
949,950000,2481.0
959,960000,2505.0
969,970000,3673.0
979,980000,3393.0
989,990000,3375.0
999,1000000,2912.0
1009,1010000,3098.0
1019,1020000,3176.0
1029,1030000,2785.0
1039,1040000,3196.0
1049,1050000,3420.0
1059,1060000,3591.0
1069,1070000,3563.0
1079,1080000,3684.0
1089,1090000,2983.0
1099,1100000,2797.0
1109,1110000,3449.0
1119,1120000,3340.0
1129,1130000,3189.0
1139,1140000,3575.0
1149,1150000,3117.0
1159,1160000,3567.0
1169,1170000,3145.0
1179,1180000,3545.0
1189,1190000,3354.0
1199,1200000,3230.0
1209,1210000,3168.0
1219,1220000,3424.0
1229,1230000,3246.0
1239,1240000,3444.0
1249,1250000,2614.0
1259,1260000,3717.0
1269,1270000,3683.0
1279,1280000,3614.0
1289,1290000,3709.0
1299,1300000,3487.0
1309,1310000,3270.0
1319,1320000,3331.0
1329,1330000,3562.0
1339,1340000,3507.0
1349,1350000,3212.0
1359,1360000,3608.0
1369,1370000,3509.0
1379,1380000,3351.0
1389,1390000,3777.0
1399,1400000,2784.0
1409,1410000,3442.0
1419,1420000,3976.0
1429,1430000,3756.0
1439,1440000,3974.0
1449,1450000,3620.0
1459,1460000,3287.0
1469,1470000,3765.0
1479,1480000,3721.0
1489,1490000,3611.0
1499,1500000,3533.0
1509,1510000,3528.0
1519,1520000,3824.0
1529,1530000,3412.0
1539,1540000,3661.0
1549,1550000,3743.0
1559,1560000,3617.0
1569,1570000,3613.0
1579,1580000,3858.0
1589,1590000,3685.0
1599,1600000,3600.0
1609,1610000,3549.0
1619,1620000,3972.0
1629,1630000,4049.0
1639,1640000,3478.0
1649,1650000,3956.0
1659,1660000,3047.0
1669,1670000,3624.0
1679,1680000,3535.0
1689,1690000,3957.0
1699,1700000,3536.0
1709,1710000,3819.0
1719,1720000,3736.0
1729,1730000,3502.0
1739,1740000,3874.0
1749,1750000,3895.0
1759,1760000,4032.0
1769,1770000,3704.0
1779,1780000,3866.0
1789,1790000,3459.0
1799,1800000,3825.0
1809,1810000,3581.0
1819,1820000,3827.0
1829,1830000,3381.0
1839,1840000,3154.0
1849,1850000,3479.0
1859,1860000,3878.0
1869,1870000,4139.0
1879,1880000,3690.0
1889,1890000,3883.0
1899,1900000,3560.0
1909,1910000,3938.0
1919,1920000,4171.0
1929,1930000,4042.0
1939,1940000,3387.0
1949,1950000,3630.0
1959,1960000,4078.0
1969,1970000,3997.0
1979,1980000,3557.0
1989,1990000,4044.0
1999,2000000,3919.0
