# {"t_start": 1682658376.194439, "env_id": "Craft-single-M1-v0"} 
r,l,t
0.0,1000,0.078166
0.0,1000,0.144594
0.0,1000,0.214054
2.0,1000,0.285488
0.0,1000,0.355401
0.0,1000,0.426368
0.0,1000,0.495593
2.0,1000,0.563866
0.0,1000,0.633578
0.0,1000,0.703287
2.0,1000,0.780558
0.0,1000,0.85107
0.0,1000,0.917622
0.0,1000,0.98805
0.0,1000,1.056054
0.0,1000,1.124984
0.0,1000,1.198166
0.0,1000,1.263186
0.0,1000,1.337936
2.0,1000,1.406537
0.0,1000,1.481873
2.0,1000,1.553893
24.0,1000,1.625865
0.0,1000,1.693904
2.0,1000,1.762866
0.0,1000,1.83692
2.0,1000,1.912258
0.0,1000,1.981087
0.0,1000,2.048942
0.0,1000,2.117254
2.0,1000,2.187325
0.0,1000,2.255634
0.0,1000,2.323064
0.0,1000,2.394248
0.0,1000,2.464888
0.0,1000,2.531345
2.0,1000,2.599582
0.0,1000,2.671007
2.0,1000,2.745123
2.0,1000,2.819802
253.0,1000,2.89287
0.0,1000,2.960862
0.0,1000,3.02889
0.0,1000,3.098608
2.0,1000,3.168446
0.0,1000,3.269698
0.0,1000,3.336475
2.0,1000,3.403616
92.0,1000,3.473419
0.0,1000,3.546228
2.0,1000,3.620365
0.0,1000,3.689965
0.0,1000,3.756878
0.0,1000,3.827932
0.0,1000,3.897721
0.0,1000,3.966429
2.0,1000,4.036094
2.0,1000,4.103705
0.0,1000,4.171607
0.0,1000,4.239932
107.0,1000,4.313726
0.0,1000,4.379558
2.0,1000,4.447452
2.0,1000,4.5145
2.0,1000,4.583946
2.0,1000,4.654149
0.0,1000,4.720539
0.0,1000,4.791475
0.0,1000,4.865806
0.0,1000,4.940345
0.0,1000,5.020205
0.0,1000,5.088973
0.0,1000,5.160079
0.0,1000,5.232424
0.0,1000,5.303339
2.0,1000,5.371434
0.0,1000,5.442248
0.0,1000,5.511948
0.0,1000,5.584231
0.0,1000,5.654422
72.0,1000,5.732216
0.0,1000,5.80604
2.0,1000,5.880431
0.0,1000,5.951012
302.0,1000,6.020298
0.0,1000,6.092989
0.0,1000,6.164704
2.0,1000,6.235839
0.0,1000,6.306589
141.0,1000,6.374253
0.0,1000,6.44781
0.0,1000,6.519235
2.0,1000,6.600797
0.0,1000,6.673268
0.0,1000,6.740267
0.0,1000,6.81039
0.0,1000,6.879423
0.0,1000,6.953027
2.0,1000,7.021526
0.0,1000,7.093274
2.0,1000,7.164816
0.0,1000,7.240517
0.0,1000,7.316349
0.0,1000,7.384701
0.0,1000,7.455795
0.0,1000,7.528391
0.0,1000,7.603485
0.0,1000,7.677986
0.0,1000,7.757753
20.0,1000,7.847116
59.0,1000,7.935841
96.0,1000,8.030361
0.0,1000,8.136864
2.0,1000,8.24255
2.0,1000,8.341194
0.0,1000,8.447283
0.0,1000,8.552999
2.0,1000,8.648528
2.0,1000,8.726513
2.0,1000,8.797755
2.0,1000,8.870354
2.0,1000,8.945912
2.0,1000,9.019304
0.0,1000,9.092123
0.0,1000,9.170769
0.0,1000,9.25199
0.0,1000,9.328376
0.0,1000,9.397528
210.0,1000,9.464235
0.0,1000,9.532527
12.0,1000,9.606488
0.0,1000,9.676491
0.0,1000,9.753008
2.0,1000,9.836926
0.0,1000,9.915384
0.0,1000,9.995049
83.0,1000,10.066612
27.0,1000,10.13841
0.0,1000,10.210251
2.0,1000,10.282468
0.0,1000,10.36183
0.0,1000,10.429672
2.0,1000,10.508154
0.0,1000,10.584585
232.0,1000,10.656107
0.0,1000,10.727062
0.0,1000,10.794932
0.0,1000,10.862734
2.0,1000,10.933692
292.0,1000,11.001482
0.0,1000,11.071959
0.0,1000,11.146473
0.0,1000,11.220618
0.0,1000,11.304953
2.0,1000,11.378459
240.0,1000,11.450431
0.0,1000,11.523887
0.0,1000,11.596048
2.0,1000,11.668911
0.0,1000,11.741454
7.0,1000,11.810069
2.0,1000,11.879519
2.0,1000,11.970117
0.0,1000,12.063779
0.0,1000,12.153668
2.0,1000,12.237621
360.0,1000,12.315963
0.0,1000,12.387964
25.0,1000,12.458804
0.0,1000,12.530223
126.0,1000,12.603104
0.0,1000,12.672729
0.0,1000,12.746259
2.0,1000,12.819381
0.0,1000,12.892104
0.0,1000,12.964401
0.0,1000,13.035409
0.0,1000,13.108833
0.0,1000,13.179007
153.0,1000,13.249053
0.0,1000,13.326452
0.0,1000,13.400392
241.0,1000,13.469358
0.0,1000,13.537639
0.0,1000,13.611093
0.0,1000,13.680555
0.0,1000,13.750843
0.0,1000,13.81897
0.0,1000,13.893106
203.0,1000,13.972317
2.0,1000,14.057457
227.0,1000,14.13946
0.0,1000,14.215542
301.0,1000,14.291136
0.0,1000,14.367201
0.0,1000,14.437196
0.0,1000,14.517134
2.0,1000,14.590953
0.0,1000,14.661159
2.0,1000,14.730046
110.0,1000,14.800697
0.0,1000,14.867806
