episodes,steps,total reward
10,10000,1.0
20,20000,0.0
30,30000,0.0
40,40000,0.0
50,50000,0.0
60,60000,0.0
70,70000,1.0
80,80000,0.0
90,90000,0.0
100,100000,0.0
110,110000,1.0
121,120000,1.0
131,130000,1.0
141,140000,1.0
151,150000,1.0
162,160000,2.0
172,170000,0.0
182,180000,1.0
192,190000,2.0
202,200000,2.0
213,210000,1.0
224,220000,3.0
234,230000,1.0
245,240000,2.0
256,250000,2.0
266,260000,2.0
277,270000,3.0
289,280000,4.0
300,290000,4.0
312,300000,5.0
323,310000,5.0
333,320000,2.0
344,330000,1.0
356,340000,5.0
367,350000,4.0
380,360000,6.0
392,370000,8.0
403,380000,4.0
415,390000,5.0
428,400000,8.0
441,410000,7.0
454,420000,7.0
467,430000,8.0
479,440000,6.0
491,450000,6.0
505,460000,10.0
517,470000,6.0
531,480000,7.0
545,490000,9.0
556,500000,3.0
570,510000,8.0
586,520000,13.0
600,530000,9.0
616,540000,14.0
631,550000,9.0
643,560000,8.0
658,570000,10.0
675,580000,15.0
691,590000,13.0
704,600000,6.0
721,610000,16.0
735,620000,10.0
754,630000,14.0
769,640000,10.0
788,650000,16.0
809,660000,20.0
824,670000,8.0
842,680000,15.0
861,690000,16.0
881,700000,17.0
900,710000,17.0
916,720000,12.0
937,730000,19.0
956,740000,16.0
977,750000,16.0
997,760000,19.0
1017,770000,18.0
1035,780000,12.0
1057,790000,21.0
1079,800000,22.0
1102,810000,21.0
1123,820000,19.0
1144,830000,19.0
1168,840000,19.0
1187,850000,15.0
1213,860000,25.0
1235,870000,18.0
1259,880000,23.0
1287,890000,28.0
1313,900000,24.0
1337,910000,20.0
1363,920000,25.0
1394,930000,29.0
1416,940000,19.0
1449,950000,32.0
1476,960000,25.0
1507,970000,30.0
1536,980000,28.0
1563,990000,25.0
1601,1000000,36.0
1628,1010000,27.0
1668,1020000,38.0
1699,1030000,30.0
1731,1040000,30.0
1769,1050000,37.0
1807,1060000,38.0
1846,1070000,38.0
1883,1080000,36.0
1920,1090000,37.0
1959,1100000,37.0
2003,1110000,43.0
2044,1120000,40.0
2087,1130000,43.0
2131,1140000,44.0
2175,1150000,42.0
2220,1160000,45.0
2283,1170000,63.0
2339,1180000,55.0
2387,1190000,46.0
2444,1200000,57.0
2507,1210000,63.0
2561,1220000,53.0
2618,1230000,57.0
2696,1240000,78.0
2776,1250000,80.0
2871,1260000,95.0
2980,1270000,109.0
3114,1280000,134.0
3257,1290000,143.0
3409,1300000,152.0
3539,1310000,130.0
3691,1320000,152.0
3826,1330000,135.0
3964,1340000,138.0
4117,1350000,153.0
4267,1360000,150.0
4427,1370000,160.0
4573,1380000,146.0
4732,1390000,159.0
4900,1400000,168.0
5061,1410000,161.0
5213,1420000,153.0
5368,1430000,154.0
5537,1440000,169.0
5696,1450000,159.0
5858,1460000,162.0
6023,1470000,166.0
6187,1480000,163.0
6355,1490000,168.0
6526,1500000,171.0
6697,1510000,171.0
6861,1520000,164.0
7031,1530000,170.0
7201,1540000,170.0
7367,1550000,166.0
7538,1560000,171.0
7708,1570000,170.0
7879,1580000,171.0
8050,1590000,171.0
8221,1600000,171.0
8393,1610000,172.0
8557,1620000,164.0
8728,1630000,171.0
8888,1640000,160.0
9062,1650000,174.0
9231,1660000,169.0
9398,1670000,167.0
9570,1680000,172.0
9739,1690000,169.0
9909,1700000,170.0
10080,1710000,172.0
10253,1720000,172.0
10425,1730000,172.0
10590,1740000,165.0
10761,1750000,171.0
10932,1760000,171.0
11105,1770000,173.0
11276,1780000,171.0
11446,1790000,170.0
11618,1800000,172.0
11788,1810000,170.0
11956,1820000,168.0
12122,1830000,166.0
12294,1840000,172.0
12464,1850000,170.0
12633,1860000,169.0
12794,1870000,161.0
12959,1880000,165.0
13128,1890000,169.0
13302,1900000,174.0
13473,1910000,171.0
13646,1920000,173.0
13815,1930000,169.0
13986,1940000,171.0
14156,1950000,170.0
14325,1960000,169.0
14497,1970000,172.0
14667,1980000,170.0
14835,1990000,168.0
15007,2000000,172.0
