# {"t_start": 1682566431.178517, "env_id": "Craft-single-M1-v0"} 
r,l,t
0.0,1000,0.043211
3.0,1000,0.087348
0.0,1000,0.129434
0.0,1000,0.172615
0.0,1000,0.214745
0.0,1000,0.257433
0.0,1000,0.299294
0.0,1000,0.34245
0.0,1000,0.384396
0.0,1000,0.426142
0.0,1000,0.468704
0.0,1000,0.510512
0.0,1000,0.552354
0.0,1000,0.597992
0.0,1000,0.640705
0.0,1000,0.682683
0.0,1000,0.724451
1.0,1000,0.768996
1.0,1000,0.809963
0.0,1000,0.85101
0.0,1000,0.892826
0.0,1000,0.933859
0.0,1000,0.974664
1.0,1000,1.015583
0.0,1000,1.056285
2.0,1000,1.09996
0.0,1000,1.141474
0.0,1000,1.183756
1.0,1000,1.225786
0.0,1000,1.267931
0.0,1000,1.31028
2.0,1000,1.35282
0.0,1000,1.394825
1.0,1000,1.438601
0.0,1000,1.480921
1.0,1000,1.523254
0.0,1000,1.56565
0.0,1000,1.607662
0.0,1000,1.649877
1.0,1000,1.692137
0.0,1000,1.734604
164.0,1000,1.776491
53.0,1000,1.818895
1.0,1000,1.860873
1.0,1000,1.90324
0.0,1000,1.945154
0.0,1000,1.986669
0.0,1000,2.027824
36.0,1000,2.068942
0.0,1000,2.11059
0.0,1000,2.153366
47.0,1000,2.204835
1.0,1000,2.246017
0.0,1000,2.287125
0.0,1000,2.328393
0.0,1000,2.369824
0.0,1000,2.410784
1.0,1000,2.451973
1.0,1000,2.493298
0.0,1000,2.534583
1.0,1000,2.577499
0.0,1000,2.619071
0.0,1000,2.660332
1.0,1000,2.701864
0.0,1000,2.743132
48.0,1000,2.784263
0.0,1000,2.825538
1.0,1000,2.866907
1.0,1000,2.908366
65.0,1000,2.950053
157.0,1000,2.992762
0.0,1000,3.034387
1.0,1000,3.076009
1.0,1000,3.117394
0.0,1000,3.15848
250.0,1000,3.199668
0.0,1000,3.240638
208.0,1000,3.282067
1.0,1000,3.323464
1.0,1000,3.364954
0.0,1000,3.40741
0.0,1000,3.448913
145.0,1000,3.490352
42.0,1000,3.532116
1.0,1000,3.57347
1.0,1000,3.614759
1.0,1000,3.656232
0.0,1000,3.697262
0.0,1000,3.738284
1.0,1000,3.779706
0.0,1000,3.822418
0.0,1000,3.864026
152.0,1000,3.905668
0.0,1000,3.947104
1.0,1000,3.988552
1.0,1000,4.029827
1.0,1000,4.071452
0.0,1000,4.112702
239.0,1000,4.154917
155.0,1000,4.196404
0.0,1000,4.238874
0.0,1000,4.280489
122.0,1000,4.321957
127.0,1000,4.363319
0.0,1000,4.404622
1.0,1000,4.445979
64.0,1000,4.487204
1.0,1000,4.528659
122.0,1000,4.569946
271.0,1000,4.611503
139.0,1000,4.654274
0.0,1000,4.695861
0.0,1000,4.737415
270.0,1000,4.778802
1.0,1000,4.820084
0.0,1000,4.861302
0.0,1000,4.902378
0.0,1000,4.943759
0.0,1000,4.985024
217.0,1000,5.026678
1.0,1000,5.069534
177.0,1000,5.111357
0.0,1000,5.152792
0.0,1000,5.19399
1.0,1000,5.235395
306.0,1000,5.276535
1.0,1000,5.317839
1.0,1000,5.359615
0.0,1000,5.401067
97.0,1000,5.442606
97.0,1000,5.48516
203.0,1000,5.526892
0.0,1000,5.568071
272.0,1000,5.60931
0.0,1000,5.650567
246.0,1000,5.691967
0.0,1000,5.733112
141.0,1000,5.774364
368.0,1000,5.815674
1.0,1000,5.856941
0.0,1000,5.899544
251.0,1000,5.941196
0.0,1000,5.982467
1.0,1000,6.023626
108.0,1000,6.06513
0.0,1000,6.106437
1.0,1000,6.147899
313.0,1000,6.189948
0.0,1000,6.231875
56.0,1000,6.273938
0.0,1000,6.316031
42.0,1000,6.358233
10.0,1000,6.400297
142.0,1000,6.442445
1.0,1000,6.484671
0.0,1000,6.526436
221.0,1000,6.568393
173.0,1000,6.610545
211.0,1000,6.652587
0.0,1000,6.694369
0.0,1000,6.736699
99.0,1000,6.778904
179.0,1000,6.82111
316.0,1000,6.863188
125.0,1000,6.905259
14.0,1000,6.947368
297.0,1000,6.989436
253.0,1000,7.031572
0.0,1000,7.073631
0.0,1000,7.115562
79.0,1000,7.158688
217.0,1000,7.201153
0.0,1000,7.243043
205.0,1000,7.284936
1.0,1000,7.326928
54.0,1000,7.369081
140.0,1000,7.411059
224.0,1000,7.453154
19.0,1000,7.49517
298.0,1000,7.536863
0.0,1000,7.579871
0.0,1000,7.621123
1.0,1000,7.662178
