# {"t_start": 1682494354.601516, "env_id": "Craft-single-M1-v0"} 
r,l,t
1.0,504,0.012867
0.0,1000,0.039163
1.0,489,0.051144
0.0,102,0.053672
1.0,722,0.070761
1.0,767,0.089516
1.0,295,0.096622
1.0,804,0.115783
0.0,679,0.132058
0.0,1000,0.156482
0.0,975,0.178947
0.0,1000,0.202236
0.0,477,0.213322
1.0,105,0.216317
1.0,151,0.22261
0.0,1000,0.24598
1.0,189,0.251259
1.0,357,0.259666
0.0,1000,0.283929
0.0,1000,0.307947
0.0,947,0.330667
0.0,215,0.335616
1.0,986,0.359046
1.0,836,0.378861
1.0,934,0.400923
0.0,520,0.413257
0.0,1000,0.436865
0.0,191,0.44147
1.0,314,0.448907
1.0,552,0.46173
1.0,375,0.470448
0.0,1000,0.49456
1.0,995,0.518524
1.0,461,0.529746
1.0,911,0.550975
0.0,1000,0.574893
0.0,1000,0.599671
1.0,587,0.613631
1.0,304,0.620907
1.0,127,0.623978
0.0,381,0.632993
0.0,107,0.635558
0.0,383,0.644671
0.0,1000,0.670722
1.0,131,0.673882
1.0,873,0.694786
0.0,190,0.699312
0.0,101,0.701761
0.0,1000,0.725267
0.0,1000,0.751474
0.0,612,0.765869
1.0,875,0.786424
1.0,191,0.790867
1.0,563,0.803798
1.0,780,0.821917
1.0,835,0.841704
0.0,433,0.851784
0.0,607,0.86595
0.0,1000,0.889136
0.0,1000,0.912681
1.0,978,0.93564
0.0,1000,0.958848
0.0,1000,0.989318
1.0,81,0.991331
0.0,1000,1.015229
0.0,1000,1.038291
0.0,1000,1.061765
0.0,335,1.06976
0.0,1000,1.093379
1.0,386,1.102474
0.0,284,1.109191
0.0,631,1.124067
0.0,1000,1.147651
0.0,98,1.150019
0.0,1000,1.173011
0.0,647,1.187903
1.0,741,1.205282
1.0,425,1.224489
0.0,160,1.231087
0.0,1000,1.27065
0.0,1000,1.310353
0.0,1000,1.350252
1.0,392,1.365836
0.0,851,1.399575
0.0,1000,1.439617
1.0,841,1.47319
0.0,1000,1.513058
0.0,1000,1.552799
1.0,328,1.565873
0.0,155,1.572118
1.0,944,1.612766
1.0,792,1.6474
0.0,1000,1.687246
0.0,1000,1.727009
0.0,1000,1.767012
0.0,1000,1.806954
0.0,1000,1.84751
0.0,1000,1.887442
1.0,411,1.903842
0.0,1000,1.943551
1.0,476,1.962596
1.0,890,1.998044
0.0,1000,2.043276
0.0,1000,2.083096
0.0,1000,2.122855
0.0,1000,2.162423
1.0,991,2.201688
0.0,1000,2.241161
1.0,902,2.276793
1.0,119,2.281612
0.0,1000,2.321047
1.0,755,2.350971
0.0,171,2.357859
0.0,255,2.368075
1.0,470,2.386733
0.0,1000,2.428895
0.0,1000,2.472492
0.0,1000,2.512226
0.0,1000,2.551662
0.0,1000,2.591199
0.0,1000,2.630543
1.0,109,2.634917
1.0,156,2.641104
0.0,1000,2.680504
0.0,1000,2.720209
0.0,1000,2.759951
1.0,741,2.789412
0.0,1000,2.833807
1.0,529,2.857103
0.0,1000,2.896811
0.0,1000,2.936585
0.0,1000,2.976136
1.0,433,2.993334
0.0,1000,3.032912
0.0,1000,3.072484
0.0,1000,3.111953
0.0,291,3.123553
0.0,584,3.146654
0.0,417,3.163224
1.0,100,3.167257
1.0,654,3.192988
0.0,1000,3.232804
1.0,858,3.267023
0.0,1000,3.307266
1.0,134,3.312662
0.0,1000,3.352133
1.0,911,3.388295
1.0,549,3.410039
0.0,1000,3.449591
0.0,1000,3.489165
0.0,1000,3.528802
1.0,170,3.535634
0.0,1000,3.575145
1.0,794,3.606454
0.0,1000,3.646415
0.0,1000,3.686126
1.0,726,3.715005
1.0,641,3.74145
0.0,1000,3.783418
0.0,1000,3.82708
0.0,1000,3.87103
1.0,743,3.904205
0.0,1000,3.947315
1.0,307,3.960285
0.0,1000,4.002979
0.0,1000,4.046356
1.0,47,4.048378
1.0,268,4.059672
0.0,397,4.075804
1.0,661,4.102856
1.0,322,4.116098
0.0,1000,4.156767
1.0,274,4.168051
0.0,1000,4.208716
1.0,517,4.229805
1.0,679,4.257396
0.0,1000,4.298162
0.0,1000,4.339564
0.0,1000,4.380442
0.0,1000,4.420343
0.0,1000,4.460861
1.0,280,4.472544
1.0,599,4.498561
0.0,1000,4.542624
0.0,1000,4.589998
1.0,682,4.618219
1.0,948,4.656855
0.0,1000,4.697867
0.0,270,4.708966
0.0,1000,4.750024
0.0,1000,4.790293
1.0,619,4.816345
1.0,92,4.821181
1.0,253,4.831897
0.0,1000,4.874503
0.0,1000,4.915848
0.0,1000,4.956926
1.0,600,4.981925
1.0,506,5.002701
0.0,1000,5.043078
1.0,816,5.075713
0.0,973,5.114665
1.0,413,5.131282
0.0,1000,5.171235
0.0,1000,5.216711
0.0,1000,5.262941
0.0,990,5.309066
1.0,616,5.337043
1.0,59,5.33974
1.0,158,5.347352
0.0,1000,5.392563
1.0,596,5.418966
0.0,1000,5.464269
0.0,864,5.503244
1.0,736,5.536269
0.0,1000,5.579024
1.0,327,5.592366
1.0,642,5.619794
1.0,185,5.627263
1.0,892,5.665342
1.0,520,5.687046
1.0,557,5.7101
1.0,90,5.714647
0.0,1000,5.75786
0.0,694,5.78744
1.0,464,5.807449
0.0,1000,5.849091
1.0,643,5.875643
1.0,638,5.901652
0.0,1000,5.942436
0.0,575,5.968046
1.0,200,5.976485
1.0,379,5.993106
0.0,1000,6.036864
1.0,904,6.0756
1.0,486,6.097089
1.0,515,6.118974
0.0,930,6.158808
0.0,1000,6.20177
1.0,769,6.233574
0.0,197,6.241482
0.0,1000,6.281312
1.0,600,6.305492
1.0,364,6.320539
0.0,83,6.324116
1.0,965,6.36305
1.0,610,6.387698
1.0,315,6.400496
0.0,1000,6.440617
1.0,503,6.460887
1.0,487,6.480543
0.0,1000,6.52062
1.0,221,6.530291
1.0,322,6.543094
1.0,233,6.552518
0.0,89,6.556154
0.0,1000,6.598523
0.0,478,6.617877
1.0,356,6.632104
1.0,342,6.645886
1.0,484,6.665129
1.0,190,6.672725
1.0,168,6.679569
0.0,689,6.707137
1.0,117,6.711863
0.0,289,6.723545
0.0,1000,6.763307
0.0,735,6.792495
1.0,725,6.821441
0.0,1000,6.860936
1.0,535,6.882269
1.0,365,6.896823
0.0,1000,6.936644
1.0,106,6.940947
1.0,107,6.945287
1.0,205,6.953581
0.0,1000,6.994807
1.0,844,7.029238
1.0,760,7.059625
1.0,163,7.066147
0.0,1000,7.105968
1.0,260,7.116466
1.0,673,7.143186
1.0,585,7.166643
1.0,836,7.199876
1.0,100,7.203941
1.0,562,7.226331
0.0,1000,7.266405
0.0,167,7.273148
1.0,478,7.292094
1.0,453,7.310087
1.0,507,7.330411
1.0,241,7.340073
1.0,485,7.359584
0.0,1000,7.401609
1.0,309,7.414052
0.0,1000,7.453859
1.0,196,7.46175
1.0,338,7.475193
1.0,130,7.480433
0.0,1000,7.520094
1.0,365,7.534499
1.0,386,7.549757
1.0,158,7.556317
1.0,245,7.566301
1.0,574,7.589839
0.0,1000,7.631715
0.0,1000,7.673394
1.0,158,7.680355
0.0,1000,7.723245
0.0,1000,7.765344
1.0,143,7.771322
1.0,872,7.807225
0.0,441,7.825993
1.0,603,7.851039
1.0,332,7.864387
1.0,218,7.873199
1.0,174,7.880162
0.0,413,7.896727
1.0,370,7.911521
1.0,51,7.91364
1.0,237,7.923157
0.0,229,7.932336
0.0,679,7.959303
1.0,83,7.962666
1.0,252,7.972765
0.0,694,8.000307
1.0,169,8.007127
0.0,1000,8.046775
1.0,663,8.073247
1.0,398,8.089132
1.0,566,8.111754
1.0,272,8.122606
1.0,222,8.131407
1.0,720,8.15998
1.0,273,8.170848
1.0,587,8.195517
1.0,116,8.200313
0.0,1000,8.241023
1.0,103,8.245236
1.0,285,8.256652
1.0,280,8.267866
1.0,257,8.278153
1.0,371,8.292963
0.0,213,8.301531
1.0,484,8.320735
1.0,488,8.340199
0.0,1000,8.379888
0.0,1000,8.41967
1.0,547,8.441543
1.0,147,8.447448
1.0,178,8.454538
1.0,786,8.485601
1.0,77,8.4887
1.0,349,8.502666
0.0,825,8.535386
1.0,748,8.565247
1.0,528,8.586859
1.0,141,8.592803
1.0,223,8.602677
1.0,174,8.609716
1.0,281,8.621838
1.0,229,8.63099
