episodes,steps,total reward
15,10000,8.0
31,20000,8.0
48,30000,8.0
62,40000,6.0
76,50000,2.0
90,60000,5.0
102,70000,5.0
115,80000,5.0
127,90000,3.0
141,100000,4.0
154,110000,6.0
165,120000,4.0
180,130000,7.0
194,140000,7.0
206,150000,4.0
223,160000,12.0
237,170000,8.0
256,180000,11.0
276,190000,12.0
294,200000,14.0
312,210000,11.0
336,220000,18.0
357,230000,16.0
385,240000,26.0
411,250000,25.0
443,260000,28.0
485,270000,39.0
516,280000,30.0
556,290000,38.0
604,300000,47.0
659,310000,52.0
725,320000,64.0
793,330000,64.0
867,340000,74.0
958,350000,90.0
1050,360000,88.0
1149,370000,98.0
1253,380000,103.0
1408,390000,154.0
1585,400000,177.0
1817,410000,232.0
2163,420000,346.0
2511,430000,348.0
2868,440000,357.0
3215,450000,347.0
3553,460000,337.0
3912,470000,359.0
4282,480000,371.0
4664,490000,381.0
5045,500000,381.0
5433,510000,388.0
5836,520000,403.0
6237,530000,401.0
6650,540000,413.0
7061,550000,411.0
7463,560000,402.0
7866,570000,403.0
8277,580000,411.0
8692,590000,415.0
9109,600000,417.0
9526,610000,417.0
9939,620000,413.0
10350,630000,411.0
10772,640000,422.0
11182,650000,410.0
11579,660000,397.0
11981,670000,402.0
12392,680000,411.0
12793,690000,401.0
13204,700000,411.0
13609,710000,404.0
13987,720000,378.0
14406,730000,419.0
14815,740000,409.0
15224,750000,409.0
15634,760000,410.0
16047,770000,413.0
16464,780000,417.0
16878,790000,415.0
17292,800000,413.0
17707,810000,415.0
18124,820000,417.0
18536,830000,412.0
18950,840000,414.0
19364,850000,415.0
19768,860000,404.0
20182,870000,413.0
20598,880000,416.0
21012,890000,414.0
21424,900000,412.0
21837,910000,413.0
22245,920000,408.0
22660,930000,415.0
23070,940000,410.0
23476,950000,406.0
23894,960000,418.0
24307,970000,413.0
24720,980000,413.0
25136,990000,416.0
25554,1000000,418.0
25968,1010000,414.0
26380,1020000,412.0
26791,1030000,411.0
27203,1040000,412.0
27613,1050000,410.0
28016,1060000,403.0
28431,1070000,415.0
28839,1080000,409.0
29251,1090000,411.0
29644,1100000,393.0
30057,1110000,413.0
30473,1120000,416.0
30884,1130000,411.0
31297,1140000,413.0
31711,1150000,414.0
32125,1160000,414.0
32522,1170000,397.0
32937,1180000,415.0
33352,1190000,415.0
33767,1200000,415.0
34181,1210000,414.0
34597,1220000,416.0
35013,1230000,416.0
35413,1240000,400.0
35809,1250000,395.0
36225,1260000,416.0
36638,1270000,413.0
37054,1280000,416.0
37464,1290000,410.0
37879,1300000,415.0
38292,1310000,414.0
38707,1320000,414.0
39125,1330000,418.0
39541,1340000,416.0
39958,1350000,417.0
40376,1360000,418.0
40786,1370000,410.0
41202,1380000,416.0
41621,1390000,419.0
42037,1400000,416.0
42451,1410000,414.0
42864,1420000,413.0
43271,1430000,407.0
43691,1440000,419.0
44110,1450000,419.0
44519,1460000,409.0
44927,1470000,408.0
45341,1480000,414.0
45750,1490000,409.0
46163,1500000,413.0
46576,1510000,413.0
46986,1520000,410.0
47404,1530000,418.0
47813,1540000,409.0
48227,1550000,414.0
48637,1560000,410.0
49053,1570000,416.0
49468,1580000,415.0
49882,1590000,414.0
50292,1600000,410.0
50711,1610000,419.0
51129,1620000,418.0
51549,1630000,420.0
51964,1640000,415.0
52370,1650000,406.0
52785,1660000,415.0
53202,1670000,417.0
53620,1680000,418.0
54034,1690000,414.0
54448,1700000,414.0
54868,1710000,420.0
55280,1720000,412.0
55695,1730000,415.0
56111,1740000,416.0
56526,1750000,415.0
56943,1760000,417.0
57354,1770000,411.0
57769,1780000,415.0
58187,1790000,418.0
58603,1800000,416.0
59019,1810000,416.0
59431,1820000,412.0
59839,1830000,408.0
60255,1840000,416.0
60669,1850000,414.0
61086,1860000,417.0
61499,1870000,413.0
61915,1880000,416.0
62332,1890000,417.0
62752,1900000,420.0
63172,1910000,421.0
63590,1920000,417.0
64010,1930000,420.0
64428,1940000,418.0
64845,1950000,417.0
65260,1960000,415.0
65678,1970000,418.0
66088,1980000,411.0
66504,1990000,415.0
66921,2000000,417.0
